cell_line_id,CellLineName,StrippedCellLineName,OncotreeLineage,OncotreePrimaryDisease,OncotreeSubtype,CCLEName
ACH-000277,HCC1419,HCC1419,Breast,Invasive Breast Carcinoma,Breast Invasive Ductal Carcinoma,HCC1419_BREAST
ACH-000278,COV362,COV362,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,High-Grade Serous Ovarian Cancer,COV362_OVARY
ACH-000279,EWS502,EWS502,Bone,Ewing Sarcoma,Ewing Sarcoma,EWS502_BONE
ACH-000280,SNU-840,SNU840,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,"Brenner Tumor, Malignant",SNU840_OVARY
ACH-000281,KP-2,KP2,Pancreas,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,KP2_PANCREAS
ACH-000286,SNU-1033,SNU1033,Bowel,Colorectal Adenocarcinoma,Rectal Adenocarcinoma,SNU1033_LARGE_INTESTINE
ACH-000288,BT-549,BT549,Breast,Invasive Breast Carcinoma,"Breast Invasive Carcinoma, NOS",BT549_BREAST
ACH-000290,NCI-H209,NCIH209,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,NCIH209_LUNG
ACH-000291,OV-90,OV90,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,Serous Ovarian Cancer,OV90_OVARY
ACH-000292,NCI-H841,NCIH841,Lung,SMARCA4-deficient undifferentiated tumor,SMARCA4-deficient undifferentiated tumor,NCIH841_LUNG
ACH-000293,KLE,KLE,Uterus,Endometrial Carcinoma,Endometrial Carcinoma,KLE_ENDOMETRIUM
ACH-000294,NB-4,NB4,Myeloid,Acute Myeloid Leukemia,Acute Promyelocytic Leukemia,NB4_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
ACH-000295,EM-2,EM2,Myeloid,Myeloproliferative Neoplasms,"Chronic Myeloid Leukemia, BCR-ABL1+",EM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
ACH-000296,OUMS-23,OUMS23,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,OUMS23_LARGE_INTESTINE
ACH-000299,HNT-34,HNT34,Myeloid,Acute Myeloid Leukemia,Acute Myeloid Leukemia,HNT34_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
ACH-000302,SNU-1077,SNU1077,Uterus,Endometrial Carcinoma,Uterine Carcinosarcoma/Uterine Malignant Mixed Mullerian Tumor,SNU1077_ENDOMETRIUM
ACH-000303,SNU-5,SNU5,Esophagus/Stomach,Esophagogastric Adenocarcinoma,Stomach Adenocarcinoma,SNU5_STOMACH
ACH-000304,WM-115,WM115,Skin,Melanoma,Melanoma,WM115_SKIN
ACH-000305,EC-GI-10,ECGI10,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma,Esophageal Squamous Cell Carcinoma,ECGI10_OESOPHAGUS
ACH-000307,PK-1,PK1,Pancreas,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,PK1_PANCREAS
ACH-000308,EFO-21,EFO21,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,Serous Ovarian Cancer,EFO21_OVARY
ACH-000310,IMR-32,IMR32,Peripheral Nervous System,Neuroblastoma,Neuroblastoma,IMR32_AUTONOMIC_GANGLIA
ACH-000311,NCI-H2122,NCIH2122,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,NCIH2122_LUNG
ACH-000312,SK-N-BE(2),SKNBE2,Peripheral Nervous System,Neuroblastoma,Neuroblastoma,SKNBE2_AUTONOMIC_GANGLIA
ACH-000313,KMRC-3,KMRC3,Kidney,Renal Cell Carcinoma,Renal Clear Cell Carcinoma,KMRC3_KIDNEY
ACH-000315,KARPAS-422,KARPAS422,Lymphoid,Mature B-Cell Neoplasms,"Diffuse Large B-Cell Lymphoma, NOS",KARPAS422_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
