cell_line_id,CellLineName,StrippedCellLineName,OncotreeLineage,OncotreePrimaryDisease,OncotreeSubtype,CCLEName
ACH-000718,NCI-H2291,NCIH2291,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,NCIH2291_LUNG
ACH-000719,RMG-I,RMGI,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,Clear Cell Ovarian Cancer,RMGI_OVARY
ACH-000720,TCCSUP,TCCSUP,Bladder/Urinary Tract,Bladder Urothelial Carcinoma,Bladder Urothelial Carcinoma,TCCSUP_URINARY_TRACT
ACH-000721,HMC-1-8,HMC18,Breast,Invasive Breast Carcinoma,Breast Invasive Ductal Carcinoma,HMC18_BREAST
ACH-000722,SNU-C1,SNUC1,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,SNUC1_LARGE_INTESTINE
ACH-000724,HT-1376,HT1376,Bladder/Urinary Tract,Bladder Urothelial Carcinoma,Bladder Urothelial Carcinoma,HT1376_URINARY_TRACT
ACH-000725,HCC202,HCC202,Breast,Breast Ductal Carcinoma In Situ,Breast Ductal Carcinoma In Situ,HCC202_BREAST
ACH-000732,PE/CA-PJ41 (clone D2),PECAPJ41CLONED2,Head and Neck,Head and Neck Squamous Cell Carcinoma,Oral Cavity Squamous Cell Carcinoma,PECAPJ41CLONED2_UPPER_AERODIGESTIVE_TRACT
ACH-000734,JHH-5,JHH5,Liver,Hepatocellular Carcinoma,Hepatocellular Carcinoma,JHH5_LIVER
ACH-000735,PE/CA-PJ49,PECAPJ49,Head and Neck,Head and Neck Squamous Cell Carcinoma,Oral Cavity Squamous Cell Carcinoma,PECAPJ49_UPPER_AERODIGESTIVE_TRACT
ACH-000736,SNU-601,SNU601,Esophagus/Stomach,Esophagogastric Adenocarcinoma,Signet Ring Cell Carcinoma of the Stomach,SNU601_STOMACH
ACH-000738,GB-1,GB1,CNS/Brain,Adult-Type Diffuse Glioma,"Glioblastoma, IDH-Wildtype",GB1_CENTRAL_NERVOUS_SYSTEM
ACH-000739,Hep G2,HEPG2,Liver,Hepatoblastoma,Hepatoblastoma,HEPG2_LIVER
ACH-000740,A-253,A253,Head and Neck,Head and Neck Squamous Cell Carcinoma,Oral Cavity Squamous Cell Carcinoma,A253_SALIVARY_GLAND
ACH-000741,U-BLC1,UBLC1,Bladder/Urinary Tract,Bladder Urothelial Carcinoma,Bladder Urothelial Carcinoma,UBLC1_URINARY_TRACT
ACH-000746,GSS,GSS,Esophagus/Stomach,Esophagogastric Adenocarcinoma,Stomach Adenocarcinoma,GSS_STOMACH
ACH-000747,NCI-H1703,NCIH1703,Lung,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma,NCIH1703_LUNG
ACH-000748,SJSA-1,SJSA1,Bone,Osteosarcoma,Osteosarcoma,SJSA1_BONE
ACH-000749,DMS 273,DMS273,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,DMS273_LUNG
ACH-000753,JMSU-1,JMSU1,Bladder/Urinary Tract,Bladder Urothelial Carcinoma,Bladder Urothelial Carcinoma,JMSU1_URINARY_TRACT
ACH-000754,L-428,L428,Lymphoid,Hodgkin Lymphoma,Hodgkin Lymphoma,L428_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
ACH-000756,GI-1,GI1,CNS/Brain,Diffuse Glioma,Gliosarcoma,GI1_CENTRAL_NERVOUS_SYSTEM
ACH-000757,A427,A427,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,A427_LUNG
ACH-000758,MKN74,MKN74,Esophagus/Stomach,Esophagogastric Adenocarcinoma,Tubular Stomach Adenocarcinoma,MKN74_STOMACH
ACH-000760,LNZ308,LNZ308,CNS/Brain,Adult-Type Diffuse Glioma,"Glioblastoma, IDH-Wildtype",LNZ308_CENTRAL_NERVOUS_SYSTEM
ACH-000762,YD-38,YD38,Head and Neck,Head and Neck Squamous Cell Carcinoma,Head and Neck Squamous Cell Carcinoma,YD38_UPPER_AERODIGESTIVE_TRACT
ACH-000763,MM1-S,MM1S,Lymphoid,Mature B-Cell Neoplasms,Plasma Cell Myeloma,MM1S_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
ACH-000764,SH-10-TC,SH10TC,Esophagus/Stomach,Esophagogastric Adenocarcinoma,Mucinous Stomach Adenocarcinoma,SH10TC_STOMACH
ACH-000765,WM983B,WM983B,Skin,Melanoma,Melanoma,WM983B_SKIN
ACH-000766,NCI-H1648,NCIH1648,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,NCIH1648_LUNG
ACH-000767,NCI-H526,NCIH526,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,NCIH526_LUNG
ACH-000768,MDA-MB-231,MDAMB231,Breast,Invasive Breast Carcinoma,Invasive Breast Carcinoma,MDAMB231_BREAST
ACH-000769,LK-2,LK2,Lung,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma,LK2_LUNG
ACH-000770,P31/FUJ,P31FUJ,Myeloid,Acute Myeloid Leukemia,Acute Myeloid Leukemia,P31FUJ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
ACH-000771,BICR 56,BICR56,Head and Neck,Head and Neck Squamous Cell Carcinoma,Oral Cavity Squamous Cell Carcinoma,BICR56_UPPER_AERODIGESTIVE_TRACT
ACH-000773,Ki-JK,KIJK,Lymphoid,Mature T and NK Neoplasms,Anaplastic Large-Cell Lymphoma ALK Positive,KIJK_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
ACH-000774,RERF-LC-Ad2,RERFLCAD2,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,RERFLCAD2_LUNG
ACH-000775,NCI-H727,NCIH727,Lung,Lung Neuroendocrine Tumor,Lung Carcinoid,NCIH727_LUNG
ACH-000776,ONS-76,ONS76,CNS/Brain,Embryonal Tumor,"Medulloblastoma, NOS",ONS76_CENTRAL_NERVOUS_SYSTEM
ACH-000777,KYSE-30,KYSE30,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma,Esophageal Squamous Cell Carcinoma,KYSE30_OESOPHAGUS
ACH-000778,HSC-3,HSC3,Head and Neck,Head and Neck Squamous Cell Carcinoma,Oral Cavity Squamous Cell Carcinoma,HSC3_UPPER_AERODIGESTIVE_TRACT
ACH-000781,NCI-H2023,NCIH2023,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,NCIH2023_LUNG
ACH-000782,SEM,SEM,Lymphoid,B-Cell Acute Lymphoblastic Leukemia,B-Cell Acute Lymphoblastic Leukemia,SEM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
ACH-000783,CAMA-1,CAMA1,Breast,Invasive Breast Carcinoma,Breast Invasive Lobular Carcinoma,CAMA1_BREAST
ACH-000784,KYSE-70,KYSE70,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma,Esophageal Squamous Cell Carcinoma,KYSE70_OESOPHAGUS
ACH-000785,NCI-H2126,NCIH2126,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,NCIH2126_LUNG
ACH-000787,LXF-289,LXF289,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LXF289_LUNG
ACH-000788,A2058,A2058,Skin,Melanoma,Melanoma,A2058_SKIN
ACH-000790,SHP-77,SHP77,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SHP77_LUNG
ACH-000791,RERF-LC-Ad1,RERFLCAD1,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,RERFLCAD1_LUNG
ACH-000792,BFTC-909,BFTC909,Kidney,Renal Cell Carcinoma,Renal Cell Carcinoma,BFTC909_KIDNEY
ACH-000793,KATO III,KATOIII,Esophagus/Stomach,Esophagogastric Adenocarcinoma,Signet Ring Cell Carcinoma of the Stomach,KATOIII_STOMACH
ACH-000794,BICR 22,BICR22,Head and Neck,Head and Neck Squamous Cell Carcinoma,Oral Cavity Squamous Cell Carcinoma,BICR22_UPPER_AERODIGESTIVE_TRACT
ACH-000796,MCAS,MCAS,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,Mucinous Ovarian Cancer,MCAS_OVARY
ACH-000798,CL-40,CL40,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,CL40_LARGE_INTESTINE
ACH-000799,Hs 695T,HS695T,Skin,Melanoma,Melanoma,HS695T_SKIN
ACH-000800,NCI-H446,NCIH446,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,NCIH446_LUNG
ACH-000801,Hs 936.T,HS936T,Skin,Melanoma,Melanoma,HS936T_SKIN
ACH-000802,BFTC-905,BFTC905,Bladder/Urinary Tract,Bladder Urothelial Carcinoma,Bladder Urothelial Carcinoma,BFTC905_URINARY_TRACT
ACH-000804,NB-1,NB1,Peripheral Nervous System,Neuroblastoma,Neuroblastoma,NB1_AUTONOMIC_GANGLIA
ACH-000805,COLO-679,COLO679,Skin,Melanoma,Cutaneous Melanoma,COLO679_SKIN
ACH-000807,SNU-738,SNU738,CNS/Brain,Adult-Type Diffuse Glioma,Adult-Type Diffuse Glioma,SNU738_CENTRAL_NERVOUS_SYSTEM
ACH-000809,KYSE-410,KYSE410,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma,Esophageal Squamous Cell Carcinoma,KYSE410_OESOPHAGUS
ACH-000810,SK-MEL-30,SKMEL30,Skin,Melanoma,Cutaneous Melanoma,SKMEL30_SKIN
ACH-000811,SK-OV-3,SKOV3,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,Serous Ovarian Cancer,SKOV3_OVARY
ACH-000817,RPMI 8226,RPMI8226,Lymphoid,Mature B-Cell Neoplasms,Plasma Cell Myeloma,RPMI8226_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
ACH-000819,LN-18,LN18,CNS/Brain,Adult-Type Diffuse Glioma,"Glioblastoma, IDH-Wildtype",LN18_CENTRAL_NERVOUS_SYSTEM
ACH-000820,SW403,SW403,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,SW403_LARGE_INTESTINE
ACH-000821,EJM,EJM,Lymphoid,Mature B-Cell Neoplasms,Plasma Cell Myeloma,EJM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
ACH-000822,SK-MEL-24,SKMEL24,Skin,Melanoma,Melanoma,SKMEL24_SKIN
ACH-000823,KYSE-140,KYSE140,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma,Esophageal Squamous Cell Carcinoma,KYSE140_OESOPHAGUS
ACH-000824,KYSE-510,KYSE510,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma,Esophageal Squamous Cell Carcinoma,KYSE510_OESOPHAGUS
ACH-000826,CAL-12T,CAL12T,Lung,Non-Small Cell Lung Cancer,Non-Small Cell Lung Cancer,CAL12T_LUNG
ACH-000827,WM793,WM793,Skin,Melanoma,Melanoma,WM793_SKIN
ACH-000829,HuNS1,HUNS1,Lymphoid,Mature B-Cell Neoplasms,Plasma Cell Myeloma,HUNS1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
ACH-000831,HEC-50B,HEC50B,Uterus,Endometrial Carcinoma,Endometrial Carcinoma,HEC50B_ENDOMETRIUM
ACH-000832,CAL 27,CAL27,Head and Neck,Head and Neck Squamous Cell Carcinoma,Oral Cavity Squamous Cell Carcinoma,CAL27_UPPER_AERODIGESTIVE_TRACT
ACH-000833,RH-30,RH30,Soft Tissue,Rhabdomyosarcoma,Alveolar Rhabdomyosarcoma,RH30_SOFT_TISSUE
ACH-000834,UM-UC-1,UMUC1,Bladder/Urinary Tract,Bladder Urothelial Carcinoma,Bladder Urothelial Carcinoma,UMUC1_URINARY_TRACT
ACH-000835,GCT,GCT,Soft Tissue,Undifferentiated Pleomorphic Sarcoma/Malignant Fibrous Histiocytoma/High-Grade Spindle Cell Sarcoma,Undifferentiated Pleomorphic Sarcoma/Malignant Fibrous Histiocytoma/High-Grade Spindle Cell Sarcoma,GCT_SOFT_TISSUE
ACH-000836,YD-15,YD15,Head and Neck,Head and Neck Squamous Cell Carcinoma,Oral Cavity Squamous Cell Carcinoma,YD15_SALIVARY_GLAND
ACH-000837,NCI-H322,NCIH322,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,NCIH322_LUNG
ACH-000838,AMO-1,AMO1,Lymphoid,Mature B-Cell Neoplasms,Plasma Cell Myeloma,AMO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
ACH-000839,SCaBER,SCABER,Bladder/Urinary Tract,Bladder Squamous Cell Carcinoma,Bladder Squamous Cell Carcinoma,SCABER_URINARY_TRACT
ACH-000840,HCC-366,HCC366,Lung,Non-Small Cell Lung Cancer,Lung Adenosquamous Carcinoma,HCC366_LUNG
ACH-000841,NCI-H2087,NCIH2087,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,NCIH2087_LUNG
ACH-000843,HARA,HARA,Lung,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma,HARA_LUNG
ACH-000845,NCI-H1373,NCIH1373,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,NCIH1373_LUNG
ACH-000846,FaDu,FADU,Head and Neck,Head and Neck Squamous Cell Carcinoma,Hypopharynx Squamous Cell Carcinoma,FADU_UPPER_AERODIGESTIVE_TRACT
ACH-000847,HGC-27,HGC27,Esophagus/Stomach,Esophagogastric Adenocarcinoma,Stomach Adenocarcinoma,HGC27_STOMACH
ACH-000848,JHH-7,JHH7,Liver,Hepatocellular Carcinoma,Hepatocellular Carcinoma,JHH7_LIVER
ACH-000849,MDA-MB-468,MDAMB468,Breast,Invasive Breast Carcinoma,Invasive Breast Carcinoma,MDAMB468_BREAST
ACH-000851,MOR/CPR,MORCPR,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,MORCPR_LUNG
ACH-000853,NCI-H661,NCIH661,Lung,Non-Small Cell Lung Cancer,Large Cell Lung Carcinoma,NCIH661_LUNG
ACH-000855,KYSE-150,KYSE150,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma,Esophageal Squamous Cell Carcinoma,KYSE150_OESOPHAGUS
ACH-000856,CAL-51,CAL51,Breast,Invasive Breast Carcinoma,Invasive Breast Carcinoma,CAL51_BREAST
ACH-000858,KNS-62,KNS62,Lung,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma,KNS62_LUNG
ACH-000859,HCC1954,HCC1954,Breast,Invasive Breast Carcinoma,Breast Invasive Ductal Carcinoma,HCC1954_BREAST
ACH-000860,NCI-H358,NCIH358,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,NCIH358_LUNG
ACH-000861,HOP-62,HOP62,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,HOP62_LUNG
ACH-000862,KMBC-2,KMBC2,Bladder/Urinary Tract,Bladder Urothelial Carcinoma,Bladder Urothelial Carcinoma,KMBC2_URINARY_TRACT
ACH-000863,DBTRG-05MG,DBTRG05MG,CNS/Brain,Adult-Type Diffuse Glioma,"Glioblastoma, IDH-Wildtype",DBTRG05MG_CENTRAL_NERVOUS_SYSTEM
ACH-000864,COLO 684,COLO684,Uterus,Endometrial Carcinoma,Endometrial Carcinoma,COLO684_ENDOMETRIUM
ACH-000865,KYSE-450,KYSE450,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma,Esophageal Squamous Cell Carcinoma,KYSE450_OESOPHAGUS
ACH-000866,NCI-H1048,NCIH1048,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,NCIH1048_LUNG
ACH-000867,ChaGo-K-1,CHAGOK1,Lung,Non-Small Cell Lung Cancer,Non-Small Cell Lung Cancer,CHAGOK1_LUNG
ACH-000869,NCI-H1568,NCIH1568,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,NCIH1568_LUNG
ACH-000871,NCI-H510,NCIH510,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,NCIH510_LUNG
ACH-000872,HCC515,HCC515,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,HCC515_LUNG
ACH-000873,KYSE-270,KYSE270,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma,Esophageal Squamous Cell Carcinoma,KYSE270_OESOPHAGUS
ACH-000874,RS4;11,RS411,Lymphoid,B-Cell Acute Lymphoblastic Leukemia,B-Cell Acute Lymphoblastic Leukemia,RS411_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
ACH-000876,MDA-MB-415,MDAMB415,Breast,Invasive Breast Carcinoma,Invasive Breast Carcinoma,MDAMB415_BREAST
ACH-000878,HCC-15,HCC15,Lung,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma,HCC15_LUNG
ACH-000879,MFE-296,MFE296,Uterus,Endometrial Carcinoma,Endometrial Carcinoma,MFE296_ENDOMETRIUM
ACH-000880,AGS,AGS,Esophagus/Stomach,Esophagogastric Adenocarcinoma,Stomach Adenocarcinoma,AGS_STOMACH
ACH-000881,MEL-JUSO,MELJUSO,Skin,Melanoma,Cutaneous Melanoma,MELJUSO_SKIN
ACH-000882,IGR-1,IGR1,Skin,Melanoma,Melanoma,IGR1_SKIN
ACH-000884,MDA-MB-435S,MDAMB435S,Skin,Melanoma,Melanoma,MDAMB435S_SKIN
ACH-000885,TOV-21G,TOV21G,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,Clear Cell Ovarian Cancer,TOV21G_OVARY
ACH-000886,NCI-H2009,NCIH2009,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,NCIH2009_LUNG
ACH-000887,SF-172,SF172,CNS/Brain,Adult-Type Diffuse Glioma,"Glioblastoma, IDH-Wildtype",SF172_CENTRAL_NERVOUS_SYSTEM
ACH-000888,NCI-H1793,NCIH1793,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,NCIH1793_LUNG
ACH-000889,KMM-1,KMM1,Lymphoid,Mature B-Cell Neoplasms,Plasma Cell Myeloma,KMM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
ACH-000890,SW 1271,SW1271,Lung,SMARCA4-deficient undifferentiated tumor,SMARCA4-deficient undifferentiated tumor,SW1271_LUNG
ACH-000894,NCI-H1869,NCIH1869,Lung,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma,NCIH1869_LUNG
ACH-000896,647-V,647V,Bladder/Urinary Tract,Bladder Urothelial Carcinoma,Bladder Urothelial Carcinoma,647V_URINARY_TRACT
ACH-000898,SNU-719,SNU719,Esophagus/Stomach,Esophagogastric Adenocarcinoma,Tubular Stomach Adenocarcinoma,SNU719_STOMACH
ACH-000899,WM88,WM88,Skin,Melanoma,Melanoma,WM88_SKIN
ACH-000900,NCI-H23,NCIH23,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,NCIH23_LUNG
ACH-000901,HCC-1359,HCC1359,Lung,Non-Small Cell Lung Cancer,Giant Cell Carcinoma of the Lung,HCC1359_LUNG
ACH-000903,FTC-133,FTC133,Thyroid,Well-Differentiated Thyroid Cancer,Follicular Thyroid Cancer,FTC133_THYROID
ACH-000905,5637,5637,Bladder/Urinary Tract,Bladder Urothelial Carcinoma,Bladder Urothelial Carcinoma,5637_URINARY_TRACT
ACH-000906,ES-2,ES2,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,Clear Cell Ovarian Cancer,ES2_OVARY
ACH-000907,SNU-349,SNU349,Kidney,Renal Cell Carcinoma,Renal Clear Cell Carcinoma,SNU349_KIDNEY
ACH-000910,MDA-MB-453,MDAMB453,Breast,Invasive Breast Carcinoma,Invasive Breast Carcinoma,MDAMB453_BREAST
ACH-000911,NUGC-3,NUGC3,Esophagus/Stomach,Esophagogastric Adenocarcinoma,Stomach Adenocarcinoma,NUGC3_STOMACH
ACH-000912,NCI-H2286,NCIH2286,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,NCIH2286_LUNG
ACH-000913,ESS-1,ESS1,Uterus,Uterine Sarcoma/Mesenchymal,Endometrial Stromal Sarcoma,ESS1_ENDOMETRIUM
ACH-000914,HT,HT,Lymphoid,Mature B-Cell Neoplasms,"Diffuse Large B-Cell Lymphoma, NOS",HT_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
ACH-000915,IPC-298,IPC298,Skin,Melanoma,Cutaneous Melanoma,IPC298_SKIN
ACH-000916,NCI-H1573,NCIH1573,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,NCIH1573_LUNG
ACH-000917,TE-4,TE4,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma,Esophageal Squamous Cell Carcinoma,TE4_OESOPHAGUS
ACH-000919,IM95,IM95,Esophagus/Stomach,Esophagogastric Adenocarcinoma,Stomach Adenocarcinoma,IM95_STOMACH
ACH-000920,CML-T1,CMLT1,Myeloid,Myeloproliferative Neoplasms,"Chronic Myeloid Leukemia, BCR-ABL1+",CMLT1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
ACH-000921,NCI-H157-DM,NCIH157DM,Lung,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma,NCIH157DM_LUNG
ACH-000922,RCH-ACV,RCHACV,Lymphoid,B-Cell Acute Lymphoblastic Leukemia,B-Cell Acute Lymphoblastic Leukemia,RCHACV_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
ACH-000924,NCI-H2172,NCIH2172,Lung,Non-Small Cell Lung Cancer,Non-Small Cell Lung Cancer,NCIH2172_LUNG
ACH-000926,HT-55,HT55,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,HT55_LARGE_INTESTINE
ACH-000928,JHUEM-1,JHUEM1,Uterus,Endometrial Carcinoma,Endometrial Carcinoma,JHUEM1_ENDOMETRIUM
ACH-000929,NCI-H2110,NCIH2110,Lung,Non-Small Cell Lung Cancer,Non-Small Cell Lung Cancer,NCIH2110_LUNG
ACH-000932,SNU-1,SNU1,Esophagus/Stomach,Esophagogastric Adenocarcinoma,Stomach Adenocarcinoma,SNU1_STOMACH
ACH-000934,MDA-MB-361,MDAMB361,Breast,Invasive Breast Carcinoma,Invasive Breast Carcinoma,MDAMB361_BREAST
ACH-000935,MDST8,MDST8,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,MDST8_LARGE_INTESTINE
ACH-000936,EFO-27,EFO27,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,Mucinous Ovarian Cancer,EFO27_OVARY
ACH-000937,PF-382,PF382,Lymphoid,T-Lymphoblastic Leukemia/Lymphoma,T-Cell Acute Lymphoblastic Leukemia,PF382_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
ACH-000938,NALM-6,NALM6,Lymphoid,B-Cell Acute Lymphoblastic Leukemia,B-Cell Acute Lymphoblastic Leukemia,NALM6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
ACH-000939,SK-UT-1,SKUT1,Uterus,Uterine Sarcoma/Mesenchymal,Uterine Leiomyosarcoma,SKUT1_SOFT_TISSUE
ACH-000941,HEC-1-B,HEC1B,Uterus,Endometrial Carcinoma,Endometrial Carcinoma,HEC1B_ENDOMETRIUM
ACH-000943,RKO,RKO,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,RKO_LARGE_INTESTINE
ACH-000944,NAMALWA,NAMALWA,Lymphoid,Mature B-Cell Neoplasms,Burkitt Lymphoma,NAMALWA_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
ACH-000945,NCI-H650,NCIH650,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,NCIH650_LUNG
ACH-000946,HEC-265,HEC265,Uterus,Endometrial Carcinoma,Endometrial Carcinoma,HEC265_ENDOMETRIUM
ACH-000947,OVK18,OVK18,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,Endometrioid Ovarian Cancer,OVK18_OVARY
ACH-000948,23132/87,2313287,Esophagus/Stomach,Esophagogastric Adenocarcinoma,Stomach Adenocarcinoma,2313287_STOMACH
ACH-000950,LoVo,LOVO,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,LOVO_LARGE_INTESTINE
ACH-000953,SUP-T1,SUPT1,Lymphoid,T-Lymphoblastic Leukemia/Lymphoma,T-Cell Acute Lymphoblastic Leukemia,SUPT1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
ACH-000956,22Rv1,22RV1,Prostate,Prostate Adenocarcinoma,Prostate Adenocarcinoma,22RV1_PROSTATE
ACH-000957,LS 180,LS180,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,LS180_LARGE_INTESTINE
ACH-000958,SW48,SW48,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,SW48_LARGE_INTESTINE
ACH-000959,SNU-C4,SNUC4,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,SNUC4_LARGE_INTESTINE
ACH-000960,Reh,REH,Lymphoid,B-Cell Acute Lymphoblastic Leukemia,B-Cell Acute Lymphoblastic Leukemia,REH_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
ACH-000961,Ishikawa (Heraklio) 02 ER-,ISHIKAWAHERAKLIO02ER,Uterus,Endometrial Carcinoma,Endometrial Carcinoma,ISHIKAWAHERAKLIO02ER_ENDOMETRIUM
ACH-000962,OC 314,OC314,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,Serous Ovarian Cancer,OC314_OVARY
ACH-000963,CCK-81,CCK81,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,CCK81_LARGE_INTESTINE
ACH-000965,RL95-2,RL952,Uterus,Endometrial Carcinoma,Uterine Adenosquamous Carcinoma,RL952_ENDOMETRIUM
ACH-000966,IGROV1,IGROV1,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,Endometrioid Ovarian Cancer,IGROV1_OVARY
ACH-000968,COLO 792,COLO792,Skin,Melanoma,Melanoma,COLO792_SKIN
ACH-000969,KM12,KM12,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,KM12_LARGE_INTESTINE
ACH-000970,SNU-C5,SNUC5,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,SNUC5_LARGE_INTESTINE
ACH-000971,HCT 116,HCT116,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,HCT116_LARGE_INTESTINE
ACH-000972,HEC-151,HEC151,Uterus,Endometrial Carcinoma,Endometrial Carcinoma,HEC151_ENDOMETRIUM
ACH-000973,639-V,639V,Bladder/Urinary Tract,Urethral Cancer,Urethral Urothelial Carcinoma,639V_URINARY_TRACT
ACH-000974,SNG-M,SNGM,Uterus,Endometrial Carcinoma,Endometrial Carcinoma,SNGM_ENDOMETRIUM
ACH-000975,HCC2450,HCC2450,Lung,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma,HCC2450_LUNG
ACH-000976,HuCCT1,HUCCT1,Biliary Tract,Intraductal Papillary Neoplasm of the Bile Duct,Intrahepatic Cholangiocarcinoma,HUCCT1_BILIARY_TRACT
ACH-000977,LNCaP clone FGC,LNCAPCLONEFGC,Prostate,Prostate Adenocarcinoma,Prostate Adenocarcinoma,LNCAPCLONEFGC_PROSTATE
ACH-000978,EN,EN,Uterus,Endometrial Carcinoma,Endometrial Carcinoma,EN_ENDOMETRIUM
ACH-000979,DU 145,DU145,Prostate,Prostate Adenocarcinoma,Prostate Adenocarcinoma,DU145_PROSTATE
ACH-000980,NCI-H1155,NCIH1155,Lung,Non-Small Cell Lung Cancer,Large Cell Lung Carcinoma,NCIH1155_LUNG
ACH-000981,DND-41,DND41,Lymphoid,T-Lymphoblastic Leukemia/Lymphoma,T-Cell Acute Lymphoblastic Leukemia,DND41_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
