,RES_00,RES_01,RES_02,RES_03,RES_04,RES_05,RES_06,RES_07,RES_08,RES_09,RES_10,RES_11,RES_12,RES_13
ACH-000094,-0.023089417099562953,-0.3948108917411484,0.8912277173415939,-0.0759313888959628,0.9010836231413344,-0.016491723021857998,-0.8526387817710663,-0.42229868545116184,-1.0612055642645126,0.01869086043604089,2.2622135826614524,-1.2840547279091354,0.2658550075342104,0.6403734728270288
ACH-000095,-1.0807135329098065,-1.3412954040553924,-0.600391105653359,-0.1723557031392479,0.6109569661538571,0.8061169161858519,-0.17570422511146444,0.4807393584696641,0.13786023618425697,1.0650747484714616,-1.4647744820388242,0.27269494694940966,0.6648595171258198,0.530718253370961
ACH-000096,-1.1334685435697693,-1.403303631420883,-1.7619948036750106,1.1046800621865227,-1.1169046698702836,-0.36291729513935617,1.3688293262216265,2.4794668853016666,2.588156152252214,0.4758089033276056,-0.8214262635717874,0.3024871841193093,-0.7909942130952893,-0.49808936995031894
ACH-000097,0.43434891564061573,-0.2613019678849396,1.1503493803760079,-0.8782195926748022,-0.9010836231413344,0.41749580855344076,0.07152182381554832,-1.0420933076148031,-0.31632691240551397,0.8749907341475217,-0.2048116325051352,-0.4440346342705391,0.10021273153199581,-0.4150979836847357
ACH-000098,-0.6758705974557163,-0.42470377494533396,-0.18240722283447414,1.4333620914605663,-1.9031763053671469,-2.4794668853016644,0.8463304581395933,0.6566538597459012,1.923749701216999,0.6457812190010196,-0.45132630888194325,1.959963984540054,0.8183490691100319,0.6676046872592143
ACH-000099,0.3372016251408053,0.5925105295130879,1.9451711242093461,-0.6162655099475975,-0.19135737335186584,-0.1690091126132405,-0.8183490691100319,-0.33022749879480895,0.023089417099562953,-0.2183030702235295,-1.5394920775526073,0.8526387817710663,1.3252515904708695,-0.09579396502978645
ACH-000100,-0.9210629853167462,-1.7218995346777684,-0.05830112436099074,-0.8945033623459216,1.269154501539727,-0.20930451635983457,-0.14008036860853418,1.7218995346777688,0.1578672520464748,-0.04729175190637022,-0.6703548976824086,0.3093996404527934,-0.2635778047071419,0.7849956136784568
ACH-000101,-0.967421566101701,-0.23748481037633762,-1.2691545015397274,1.889895557520506,0.060503804356206815,1.8280379276044878,-1.6753802499246842,0.3723273700334455,-0.8463304581395933,2.5300844134039813,-1.4520373218405715,0.4684348034639763,0.111268405229855,1.006791276302608
ACH-000103,-0.3001862564390561,0.6296136839545463,1.1632284115355502,1.0420933076148031,1.6753802499246846,1.1719227553576743,-1.5182659475558995,-1.1546211199864427,-0.8717709721899588,0.6484921805928574,-0.34652610591141986,-0.03188795595915477,-0.3582243332982911,0.3629172951393563
ACH-000106,-0.3876897877871037,-0.8814576331714923,-0.08475503672812068,0.8061169161858519,1.2401706527892427,1.2190979509137163,-0.9552056993359318,-0.7642188383634371,-0.8183490691100319,1.1851328811470352,-0.9110278462898451,0.1356407830643558,0.8307049118491973,-0.19583815857485246
ACH-000108,-0.737980472204168,-0.31401615114926634,-0.045090607775225125,-0.23635411982100163,0.3865048558827439,1.525265125876848,-0.30478971436541424,-1.5919163168159876,-0.14896791903016532,-0.20032287919934866,1.7517049145026056,0.07152182381554832,0.02528885764264936,0.05830112436099074
ACH-000111,-0.22506356525517032,-0.7236213251742154,-1.3359092188098454,1.237802035067147,-0.13786023618425697,0.42952135053880236,-1.3252515904708695,-0.1467449554865486,-0.09910785982289917,1.5394920775526066,0.31170706540571,-0.09579396502978645,0.824511255955517,2.2622135826614524
ACH-000113,-2.184202539375764,-0.13786023618425697,-1.1985531246455747,1.4909869838078207,0.8912277173415939,1.40921389662192,-0.1868804268224072,0.0891692934466064,-0.1046334556140754,0.4832089679002755,-0.02748842052851622,-1.1046800621865227,-0.19695896599698806,1.1210168225962824
ACH-000114,-1.0049679545269972,-0.5562057989339743,-1.0807135329098065,-0.5742635458221241,1.3252515904708695,2.588156152252214,-2.3570442297684564,-1.9599639845400545,-1.4909869838078214,0.7820068867537175,1.8769400144253807,0.5181036339972976,0.8030777025132917,0.5781573438545956
ACH-000115,-0.036288108699855263,1.312137680736437,0.5820599275295223,1.6322274557352336,0.7150770996971557,0.743766841141197,-0.7820068867537173,0.13120386939339987,-1.783152983897957,0.162321567392157,-0.0803424309080725,-0.3888752642829681,-0.009894746751426072,0.045090607775225125
ACH-000116,-0.09358528838052131,-0.9797835324994979,0.1356407830643558,1.1087365265227942,0.5408710138672533,1.0846647277930805,-1.0650747484714613,-1.0122814351089962,-0.9110278462898451,0.9244286998588873,-0.28412343330913126,0.8276041153933821,-0.8338137161324595,1.2992456226917888
