gene_symbol,modules,n_modules,sub_mito_location,evidence_weight
MOCS1,5,1,Matrix,0.9459
MMUT,4|5,2,Matrix,1.463
SLC25A51,5|9,2,MIM,1.2545
SPG7,8,1,MIM,1.437
ATP5MC3,2,1,MIM,1.3292
ATAD1,8,1,MOM,1.2694
OXNAD1,5,1,Matrix,1.5368
MTG2,6,1,Matrix,0.982
DARS2,6,1,Matrix,1.0582
MRPL51,6,1,Matrix,1.112
PC,3|5,2,Matrix,1.1757
CLYBL,5,1,Matrix,1.0368
PNPLA8,4,1,MIM,1.4876
MLYCD,5,1,Matrix,0.9408
PYURF,5,1,unknown,0.9024
TIMM17B,8,1,MIM,1.1616
MRPL32,6,1,Matrix,1.391
SLC25A26,9,1,MIM,1.4054
PRODH2,5|10,2,MIM,1.0179
NIT2,5,1,unknown,1.6213
FDX2,5,1,Matrix,1.0149
ME2,3,1,Matrix,1.2095
TUFM,6,1,Matrix,1.4969
COX6A2,2,1,MIM,1.151
SLC30A9,2,1,MIM,0.8306
TAMM41,4,1,MIM,1.3179
TIMM23,8,1,MIM,1.584
RMND1,7,1,MIM,1.3041
MFN2,11,1,MOM,1.3084
DNLZ,8,1,Matrix,1.0679
CHCHD4,8,1,IMS,1.1113
NDUFAB1,0|4|5,3,MIM,1.1664
ACSM1,4,1,Matrix,1.1214
COA5,2,1,IMS,1.1866
COQ2,5,1,MIM,1.5649
PDSS2,5,1,MIM,1.1855
EHHADH,5,1,unknown,1.3173
NDUFS3,0,1,MIM,1.1592
ABCB10,5|9,2,MIM,1.1107
CKMT2,2,1,MIM,1.1088
MRPS25,6,1,Matrix,1.1088
ACAD9,0,1,MIM,0.94
COX16,2,1,MIM,1.728
FAM210A,2,1,MIM,1.0224
ACOT13,5,1,Matrix,1.5362
CPT1A,4,1,MOM,1.1079
DHRS4,5,1,Matrix,1.1365
PRELID2,10,1,IMS,1.1405
CARS2,6,1,Matrix,1.1676
NIPSNAP2,12,1,Matrix,0.9139
NDUFB7,0,1,MIM,1.4112
MICOS13,11,1,MIM,1.3632
GLRX2,5|10,2,Matrix,0.8847
MRPS30,6,1,Matrix,0.9148
SCO2,2|5,2,MIM,0.9979
HSD17B10,4|5|7,3,Matrix,1.3608
