cell_line_id,perturbation_gene,delta_00,delta_01,delta_02,delta_03,delta_04,delta_05,delta_06,delta_07,delta_08,delta_09,delta_10,delta_11,delta_12,delta_13
ACH-000005,PDK4,0.0,0.0,0.0,0.018763155561393893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACH-000005,SLC25A13,0.0,0.0,0.0,0.0014212281201453805,0.0,8.604637413063342e-05,0.0,0.0,0.0,-0.00017164476459642208,0.0,0.0,0.0,0.00222568546492769
ACH-000005,HCCS,-2.093458523675622,0.0,0.0,0.0,0.0,-0.003794858332494167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACH-000005,SLC25A5,-2.093458523675622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015391798890344453,0.0,0.0,-0.0020847786261290868,0.0
ACH-000005,MCUB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001048876594819446,0.0,0.0,0.0,0.0014347309925526561
ACH-000005,LIG3,0.0,1.3396823722239048,2.6906093517442287,1.8084854872762435,2.6193411751036138,5.543925976857537,3.2130670387824125,-22.52073325509775,2.241196198632167,2.397400948988661,2.3045874000113713,1.8460217907473861,2.1764625125283033,1.3396823722238764
ACH-000005,ACSM3,0.0,1.3396823722239048,2.6906093517442287,1.8084854872762435,-26.948636084342127,5.543925976857537,3.2130670387824125,2.517403019217454,2.241196198632167,2.397400948988661,2.3045874000113713,1.8460217907473861,2.1764625125283033,1.3396823722238764
ACH-000005,CROT,0.0,0.0,0.0,0.0,0.006143226029432131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACH-000005,PDK2,-2.093458523675622,0.0,0.0,0.028607354679290646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACH-000005,SPATA20,-2.093458523675622,0.0,0.0,0.0,0.0,0.012579328338729486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACH-000005,AGK,0.0,0.0,2.6906093517442287,0.0,0.016317321704924725,0.0,3.2130670387824125,2.517403019217454,-31.31165093189928,0.0,2.3045874000113713,0.0,0.0,0.0
ACH-000005,COX10,0.0,0.0,-26.07703427413625,1.8084854872762435,2.6193411751036138,0.01764038983267879,3.2130670387824125,2.517403019217454,2.241196198632167,2.397400948988661,2.3045874000113713,0.0,2.1764625125283033,1.3396823722238764
ACH-000005,ELAC2,0.0,0.0,2.6906093517442287,1.8084854872762435,2.6193411751036138,0.0,3.2130670387824125,-22.48950725459716,2.241196198632167,2.397400948988661,2.3045874000113713,0.0,2.1764625125283033,1.3396823722238764
ACH-000007,BAD,0.0,0.0,-2.6906093517442287,0.0,0.0,0.0,0.0,-2.517403019217454,0.0,0.0,0.0,-1.8460217907473293,32.29626216651278,-1.3396823722239048
