,SPCA_00,SPCA_01,SPCA_02,SPCA_03,SPCA_04,SPCA_05,SPCA_06,SPCA_07,SPCA_08,SPCA_09,SPCA_10,SPCA_11,SPCA_12,SPCA_13
ACH-000097,-3.0352039434276747,0.7928076742997705,-1.332191508859552,1.2621694976985733,1.3762841657433458,5.6369720413983595,1.2124730363088565,-0.5144857847896134,0.355927878718742,-1.2054698807030244,0.7782285725565911,-0.962806087519076,-0.5232875649971221,-0.9260963233693118
ACH-000098,-1.5674184702002396,0.07245767922400412,-1.214459734797795,0.06175631009854539,-2.0240599501059013,-4.203411860024088,1.0023199059962555,1.3059629759147446,0.7145273194870982,-0.06147940927490084,-2.382706384054466,-0.4458034014954952,-0.9284608608230406,-0.6456580618458614
ACH-000099,0.5843767866259152,0.325743094665466,1.034871492424497,0.5685983317192909,-0.771232830168923,0.021541481420114014,3.362324397810037,0.8315871354071216,0.9687132629767955,2.6927032912902025,1.4234798879877608,1.3976032981068147,-4.255057060713669,1.837085710765657
ACH-000100,3.061560509652311,0.5034993830777598,1.0750460340111037,0.0887305750200858,-2.3734848235940986,-1.6405155405643619,4.421593050666032,3.462241057126543,2.5824222745931804,1.0639908514014458,-1.659983718649604,-4.153462426973377,-3.115289894427359,0.2842884296656954
ACH-000101,1.1036492841298415,-1.7626101444827051,1.2345377096603367,-1.6223154216911686,-0.14542141664811037,-2.877707704926385,3.8475216611437224,3.7557362691414493,0.3944488018813078,4.231182602061459,-2.4855304601072716,-2.5879778980338473,-2.8519880036684544,-0.4344767061181467
ACH-000103,4.982603915198539,1.4077980379847368,3.596403977487065,0.9796229784874115,1.5483514028425334,5.200468523844897,4.371815327885033,1.7889451810679178,0.5480935837093982,-0.7894351501715996,2.6371982176580047,-1.8638111147265837,1.9126065688285436,-1.32204436441682
ACH-000106,0.7760279118557918,-2.2247797802039697,0.7112313616485,-2.4893844356387698,2.636192607061878,0.9841889512812442,3.4240239459358652,0.9661339647687951,-0.028630495464677913,2.0797370731256937,0.5313929384074225,-0.7570676301285801,-0.5338414947480119,-0.6208527276258642
ACH-000108,2.1522278363712437,-1.1568869817087446,1.2376401620398754,2.284739713724589,0.8823108018903183,1.666900873900244,1.4773409905536203,0.9657807025740648,0.6084388846730303,-2.283265312798775,-0.4558100356260607,-0.6341354611731104,2.7656398353554827,-2.3973612807404505
ACH-000111,3.238289689650971,1.1671864035650392,2.192466755211912,0.8373735284457525,1.0532743963637954,4.145137513116625,3.769350743184336,2.5733982176583727,0.4442265612017081,0.004358907374471583,1.7410750927841636,-2.4960577916439743,0.825003961782738,-1.8029308080789974
ACH-000113,-1.3301025069325008,-1.740092394869737,-0.22031243971470454,-0.7241842741172677,0.6516745479060879,-2.0819469822662793,2.31424792631256,1.457583820129774,0.20965923066147357,2.234636024072069,-1.63798628050951,0.7156268445758364,-1.467404808286804,-0.45795282974630963
ACH-000114,6.054084146721324,-0.5249797390520083,6.453181872465827,2.8754413585001193,5.500904726269396,7.849605707027038,1.3400298032579212,1.2039261903697203,0.14820526870108802,-4.28317222528091,3.3520374397820025,-1.1487772349279586,5.4508737579869235,-2.2460425206218115
ACH-000115,2.069541957075934,1.3742204286182524,1.0403223315153514,0.24871534341544754,-3.06814088458391,0.7610834308917257,2.5880586911346453,2.147597933948753,-0.375607380600591,1.3031295819904687,1.6572784476832287,-2.0433056613430605,-0.09291681102034295,0.8792072674730418
ACH-000116,1.8061825538065595,0.5212207756056856,1.0788562010806901,1.7767574485514743,2.4544184794508324,4.167079305159416,3.9627136490960053,1.6315554045957876,0.8436875319595674,0.5944793594730237,1.717596535188206,-2.123103286705468,0.5747469097455842,-1.6202811545288769
ACH-000118,5.358898041511947,1.5190954625740454,3.7724112320133574,2.2370433789957396,1.6100261207159507,4.773880809112694,3.3204766467594933,3.062578496561992,2.9323930660459263,-2.0857713489933345,1.8552132779167025,-3.2479411304318972,1.387974599455284,-3.1867564168665963
ACH-000120,1.5535607991308638,0.5157207994268462,0.05272656698145957,1.0572341767022635,-1.1275644939176022,-2.6367924754308616,1.882362145439245,1.1367646400980165,0.5817415338573922,1.4288755742667933,-1.0389094241062293,0.9044967970069357,-0.8015820288253936,1.212553577512794
ACH-000123,1.499639085115082,-0.5216756549979753,-0.133902013529059,-1.396862988222444,-1.7745958164341935,-3.556766778751396,2.842517177454371,1.3830024675026624,0.32349863999105144,3.7497747702180915,-3.4603872947809076,-1.1256975087340726,-1.7357863735970362,1.3468112762663889
ACH-000124,0.09703846476481126,-0.37137198746966466,0.44703244850729185,-1.1035808051212768,0.6300053404069049,-1.4801004010582843,5.132896097939132,4.525481313845743,2.6477210714972057,3.217770814188192,-0.7226984729097689,-0.8273924672131308,-2.3642385866644866,0.3390311117452621
ACH-000127,-0.3747031141361501,-0.39115086131364585,0.1814206277400571,-0.7728772697159992,0.4062259871361596,-0.24162621401447576,2.3659890960790193,0.7311491893026519,-0.2982634005906067,0.2598164425531138,0.34299829200351795,0.8521319794673502,0.40727647702205216,-1.5519198508010887
ACH-000128,3.2309129264358827,0.8266198385194177,2.368552952008948,0.7605387214183165,0.1466638737039892,2.3298525143373716,3.4444009710725343,3.256216482067723,0.9092307075191539,0.3603996574554812,0.001606337817905851,-3.425122128114764,0.7157590359981165,0.40750724099112257
