,OXPHOS_vs_TCA_balance,FAO_vs_TCA_preference,Fusion_vs_Fission_balance,OXPHOS_Assembly_Stress,mtDNA_TCR_ratio,mtDNA_TCR_balance,BCL2_prosurvival_vs_prodeath,BCL2_prosurvival,BCL2_prodeath,Mitophagy_vs_Biogenesis
ACH-000115,-0.7839603034261895,0.022975912619233596,-0.4312463157309512,0.07707998144622123,0.12706257915801988,-0.47908345454006995,0.36756168028947755,-0.2962622746192235,-0.663823954908701,-0.29167668464059093
ACH-000116,-0.4699309157544538,-0.07822387503629502,0.738879521010183,-0.10334709199616175,-0.0005566334823359644,-0.2120433962660938,0.15517826100648469,0.4157587454701376,0.2605804844636529,0.9549173289964159
ACH-000118,0.3622978244171813,0.31334360805633954,0.2520031874073325,-0.05173617855329549,-5.957590433463662,-0.28352900011850557,0.6705479816906735,-0.01254344344121645,-0.68309142513189,-0.34089020470206094
ACH-000120,-0.7402294902787179,0.4654926838168002,-0.42210084106026435,0.5170699635924745,1.015448332214832,0.010591738911200577,-0.34979615529340197,-0.2261151369424223,0.12368101835097968,-0.9135408721678933
ACH-000123,-0.06751743165053208,0.27884023652731255,0.22450571524675464,0.11804687770626071,0.6718422702592955,-0.0939138567057784,-0.12349406101784334,-0.23336163997566084,-0.1098675789578175,0.3378717714077959
ACH-000124,-1.2012787512583005,-0.5181928399129465,-0.49471037148881036,0.10020250429781319,6.762945975090837,-0.2857743126709624,-0.22804513717643615,0.26889388308161244,0.4969390202580486,0.5874116683016197
ACH-000127,-0.294068645158652,0.2552547049725862,-0.5992287205664059,0.2822590630042158,0.8833760812329766,-0.046153041380285253,0.041491448256044894,0.33412274987558094,0.29263130161953604,0.3075514010045637
ACH-000128,-1.3575162967228274,-0.2600163829770639,1.1796680039949337,0.23903521852972923,0.3673034025184008,-0.37783888765327656,0.28779053683949957,-0.1650701492090651,-0.45286068604856466,0.522355908737338
ACH-000132,0.8142542724499446,0.2895269138028347,0.6436113908675317,0.20132050449356614,0.912482769825632,0.037394527356774176,0.1483828551592039,-0.02161371782794517,-0.16999657298714907,0.2676228525804787
ACH-000133,-0.20602641238597003,-0.10400812753953163,-0.043364730282319186,0.25716667376816416,0.1112565943447279,-0.4556414242770977,0.07910435898067436,0.5593924777480755,0.4802881187674012,0.5797708565288258
ACH-000137,-0.026320895186176446,0.49253309754063934,0.7318965433293192,0.33970078332291576,0.5637791781645309,-0.14135547335699764,-0.17551347759783026,-0.08904649963798532,0.08646697795984494,-0.20150108972038433
ACH-000138,0.43800719214286854,1.0880835862768394,0.32859596680909653,-0.12135134089735938,1.3100663432813668,-0.14079823902693506,-0.09715479883398542,0.2778287339650795,0.37498353279906493,0.8237417307657412
ACH-000139,-0.19771061200005335,-0.4593910206314593,-0.041465724406560156,-0.4168728794223936,1.058364858717547,-0.03969503693143872,-0.5698217494622946,-0.35088827212109397,0.21893347734120067,0.42353555024863104
ACH-000141,0.01340049905594277,0.16816311621231567,1.1130853442767135,-0.05049434206439737,1.111342481360404,0.026851675933988434,0.46667818997413035,0.18734273741401056,-0.27933545256011977,-0.46932522213858463
ACH-000142,-0.4789484434718795,-0.04157406858223056,0.6533151696030844,-0.2371186846417898,3.4534985051568152,-0.4336996784206645,-0.06444263750666553,0.05339301634458388,0.1178356538512494,1.191157039816123
ACH-000143,0.43332010590079406,0.28843838881467043,0.7129714045333053,0.035535432593282235,1.0566557466886657,0.0343555335393243,-0.03630686866989036,-0.4882858976106691,-0.45197902894077874,-0.8192374194732703
ACH-000144,-0.4078119722136738,0.34772328873547004,0.5812347561127456,-0.1444201126590418,0.26158283204707483,-0.4786019954607118,-0.2845758032330734,-0.1755378703552259,0.10903793287784753,0.38872948569535176
ACH-000145,0.19922893727561783,0.8773039771899365,0.6150279487340863,0.17283873765422278,0.590309051778405,-0.05059576937454985,-0.08999943098410265,0.17395940474861624,0.2639588357327189,1.0817102290427392
ACH-000146,0.6096452656615523,0.8796520222675178,-0.20836973083308202,-0.12173897898179392,0.7238308742823226,-0.08201310106870477,-0.008154788332084224,0.012119053673712799,0.020273842005797023,-1.084578765562247
ACH-000147,-0.5599581162616305,-0.20793996863650388,1.197859231732612,-0.08146821246677749,0.5455766077017832,-0.1551181986369804,0.36504559420750976,-0.2519393643404039,-0.6169849585479137,0.10843417637426915
ACH-000148,-0.6994765680728396,0.13551518037482477,0.7707545415582143,-0.03451198688583479,1.312433746145086,-0.17890812309009474,-0.8281859436000096,-0.4310381288116215,0.3971478147883881,2.607538152487776
ACH-000149,-0.5572763083308075,0.22291916792276598,0.2872907244126229,0.3026963322733154,0.5768598131240442,-0.1869315469458946,-0.36880182275692913,0.10162880617682757,0.4704306289337567,0.7877874642121071
ACH-000151,-0.5733405970015979,0.03493575815759142,-0.55673577830196,0.19258970452635288,0.4958877802492963,-0.5130369557871528,0.460264386349614,0.21713843592132603,-0.24312595042828797,-1.147708903560417
ACH-000152,-0.9421429274150961,-0.48551595142946713,0.5766814236523522,0.13719888144671535,0.5319308060751684,-0.07553047939290876,-0.08867476244798675,-0.01357273372093829,0.07510202872704846,0.8355434451655654
ACH-000153,-0.6376245066106132,0.0016129798697764874,-0.17354485019068333,0.3263788800256898,0.338610145399892,-0.07392605220671253,-0.2970301961613345,0.3188455680926757,0.6158757642540102,0.51034567889949
ACH-000155,0.5831409002399239,-0.8212355932018826,-0.2785642006134432,-0.3740989028937891,1.2698394261078827,-0.059749100409620476,-0.3218476577014966,0.10758380797676281,0.4294314656782594,-1.213444889860932
ACH-000159,-1.4015368692004955,-0.6678132328254867,0.05587851842371826,0.04116405569159359,-4.4607000633831015,-0.38980934725451044,0.17796226914237923,0.6970982447496348,0.5191359756072556,1.447659118893594
ACH-000160,-0.5905625821163221,-2.1390684133401057,0.4697095010168288,-0.49772653329444233,1.5291563631756704,0.13954791930090477,-1.1628048507981308,-1.0022306630654998,0.16057418773263094,-0.4232045570749094
ACH-000161,-0.7753722625286069,-0.9464226715519148,0.3212344497902907,-0.351062123361635,0.43024787141098497,0.12666580571828367,-0.046026327536535266,-0.01544203791515546,0.030584289621379806,0.32947341365574123
ACH-000163,-0.5292448278615347,-0.2799709336238456,0.9026204608588585,0.3081501819490913,0.5396882201498505,-0.1740008982034316,-0.0723713364414521,-0.01563760548326847,0.05673373095818363,-0.06533546064587689
ACH-000164,0.11168834644308895,-1.099731720132985,1.4825321989814806,-0.174851020718867,0.30209004335870326,-0.34502530737081955,0.11465269277013487,-0.02960417964275397,-0.14425687241288884,-0.255960648143741
ACH-000167,0.26431896872108673,0.08715633647992604,0.6179239479519988,0.03246436706875566,1.3070587825578825,0.16125837751088423,-0.04786473830969448,0.2392688774132196,0.28713361572291407,-1.777574146243034
ACH-000168,0.19541414664583232,0.5854654856630128,-0.6967566952557862,-0.21554669491430678,-3.4804723681920384,-0.19260057305099662,-0.2823197101261308,-0.40169764745590275,-0.11937793732977196,-0.06952620131259546
ACH-000169,-0.09088732189636964,0.4283418938723463,0.43935651808390364,-0.023545380648871572,0.6157152304918484,-0.30601274176999,-0.003481446112938919,-0.001144506590424177,0.002336939522514742,-0.15812284117284942
ACH-000172,-0.5814337871967734,0.3570846678716988,-0.07328629750049348,-0.005670737596367922,1.1695981385985894,0.018958671603045166,0.23941232177945287,0.009915795812086037,-0.22949652596736683,0.8304135838731763
ACH-000174,-0.29295369814239,-0.6934556551841613,0.2319950060683485,0.24334513843276,0.4951530251463665,-0.27571267916895764,0.7445769069000927,0.5725806329711174,-0.17199627392897532,-0.08196249115124779
ACH-000176,0.1317965480831636,-0.2854765697506729,-0.46193117041542775,0.043886974398038195,-0.4541191724446744,-0.19064956429515814,-0.6823516640827516,-0.4194345802733652,0.26291708380938644,0.8013627193620415
ACH-000178,-0.6769527156347139,-0.6902084768848593,-0.13530982592743263,-0.11184062429148152,2.790166887273156,0.26212444890368003,0.5490471626311427,0.514769556582673,-0.034277606048469716,-0.3378762920101581
ACH-000181,-0.5980042042944478,0.6584829005002106,0.00023296797594452023,0.30990709132074545,1.3980420157288853,-0.1935620450121508,0.4339846422024147,-0.16506862932862656,-0.5990532715310413,1.703126142372253
ACH-000182,-0.5652014999223836,0.609320736919809,1.4098231334686215,-0.06677028072173041,0.9389102381027307,0.02901975408152835,0.275055508233907,0.2728636803722544,-0.002191827861652593,0.5847507103146761
ACH-000183,0.5386298790748207,0.31408136710987855,0.842913282868027,-0.17300170054568564,1.1990867739572544,0.11058849767292656,-0.16374094058113525,0.3664781425952554,0.5302190831763907,-0.7249065934642458
ACH-000187,-1.717098579473839,-0.9666582497099417,0.0257709718712677,0.42427895334108645,0.6525684909152054,-0.23710319086857168,-0.17227738320219688,-0.1025630844698983,0.06971429873229858,0.34284040111768055
ACH-000188,-0.822704158883613,-0.39789744322669374,1.2860103768291389,-0.6183627584224314,1.0908634550184024,-0.12061225746078219,-0.4711548867348514,-0.7477865400914439,-0.27663165335659246,1.327174671539891
ACH-000189,-0.22438983776408117,0.20598909093994222,-1.1571334062837186,-0.12419770162908139,1.1822230937401836,-0.09220124088715109,-0.22216304759140415,0.2902160704387652,0.5123791180301693,1.4957469716469893
ACH-000190,-0.5116772100088649,-0.3327927976288965,0.8690682581977704,-0.06337729592097106,5.0531762667747815,0.11787977855836045,0.9328735434425771,0.7303971403899486,-0.2024764030526285,0.5468052331284926
ACH-000191,-0.041117967022451296,0.5353363274587732,1.1177881896330741,0.23550541323841284,-1.379267146384607,0.20097041661764917,0.12386905856482103,-0.15877264818155792,-0.28264170674637895,0.3543804215022478
ACH-000192,-0.36990895565354687,0.36331559488322174,0.8362238997891046,-0.056368344515829116,0.09671336302882816,-0.13582482822017763,-0.09290803124326869,-0.4886383136440777,-0.39573028240080904,0.711748186061616
ACH-000195,-0.9163025733867655,0.5800175100457969,0.8613876610509021,0.2531296443672705,1.024686170239348,0.009992997089249278,-0.1849461250177043,-0.15505824795656092,0.029887877061143382,0.33510433666977707
ACH-000197,-0.7719425506073159,-0.022387123152533335,-0.7336820654320722,0.21507838708859814,-0.08691451907620251,-0.9972886629247424,0.30337765658431015,-0.05561958707591852,-0.35899724366022867,0.026099678080085065
ACH-000198,-0.4045697008774546,0.3381060440473438,-0.5060421787160017,0.3047135387709031,0.33856652353783734,-0.19172235245324362,-0.3291512752729996,-0.49346961988938814,-0.16431834461638858,-0.4373913415399684
ACH-000200,-1.0823664951608938,-0.4311720855963084,-0.09995988379708098,0.16682327253469703,-0.14743539058176575,-0.2217261282940768,0.23560566331106114,0.5205505769638441,0.28494491365278296,0.28901367248565935
ACH-000202,-0.874537064681163,-0.1560224201646696,0.6281826217591505,0.23564909263266434,0.9757501322807384,-0.01668154121068277,0.6945747220439313,0.2754176133473425,-0.4191571086965888,-0.015798108347790274
ACH-000203,-1.0355323818209674,0.5385037997578607,-0.5053572205210364,0.4398301762054236,0.25643773723152635,-0.6560275750022665,0.47700342134325113,0.4269753020043952,-0.050028119338855946,1.2253921845114952
ACH-000204,-0.07722031853767211,0.5505190924708623,-0.30648446184889283,0.2908286088535634,1.6482566537452288,0.054847963347838286,-0.32766312688170884,0.10192281130786293,0.4295859381895718,-0.17841804500550812
ACH-000206,-1.4640545503024716,-0.6733848588208824,0.06751662495723476,0.09795245978056502,1.0870358402851834,0.046582946760350796,0.8335778998793794,0.9922475351438989,0.15866963526451947,-1.1276202925858434
ACH-000207,-0.5875234606054915,-1.5144088720893327,1.0072128420831263,-0.016912132043825356,0.3696799291578295,0.3203308339664622,-0.33738918697462483,-0.39052698645690775,-0.05313779948228291,-1.2036818021309925
ACH-000208,-0.41763934507661604,-0.2332219812103767,0.07716541823299647,0.335849416037269,0.40001045241919436,-0.12900240966281648,0.14141195698094602,0.3412980366399426,0.1998860796589966,0.805116859089994
ACH-000209,-0.7717635871219499,0.14401850765924307,-0.38249888679625754,-0.3828703328355827,1.0018552194188663,-0.001389582304954451,0.7821936222566443,0.4417292302612131,-0.3404643919954312,1.3571066916808707
ACH-000210,-0.27527888164011727,0.029001143375842392,-0.750264095149376,0.05122964687628997,-0.3171661465747813,-0.4621452791854506,-0.3345893045292348,-0.4852528935910091,-0.1506635890617743,1.2177733576673377
ACH-000211,-1.0752907157600755,-0.5457840504676297,0.5511399087403348,0.29781324902599754,0.858716277036776,-0.09128950171276595,0.14137147062713226,0.030084208829590862,-0.11128726179754139,-0.4522699124558212
ACH-000212,0.5256233660388421,0.7580976178892871,-0.4252036494931557,0.07477549901538544,-1.3001130624418753,0.27681382964547985,-0.24083328698495765,-0.07959306275477238,0.16124022423018528,0.4774133547238454
ACH-000213,-0.09985412262449012,0.33761314577386714,0.44804040760304575,-0.1624618593099848,2.0749206572986876,-0.2274391174217728,-0.7507263653917801,-0.6105255960687764,0.1402007693230036,-0.10899317879619574
ACH-000215,-1.2076622545949975,-0.35757062464114864,0.29585497698349617,0.17684667863408243,0.1341901863596893,-0.35033671132880295,0.28361802577134204,0.1376432115321047,-0.14597481423923733,0.3778329316318284
ACH-000216,-0.6266398140174043,0.054660352893570935,0.2963635374049511,0.16499991246847323,1.450669993105572,-0.11191735464409344,0.22000560014794276,0.015409510474682175,-0.2045960896732606,0.11846916586734091
ACH-000217,-0.4101547730780956,-0.3057677868210078,-1.0791371302643444,0.19392378787186113,-0.22043035965199465,-0.20216282578877953,0.22366420763349384,0.22795041803566365,0.004286210402169814,0.885732713119048
ACH-000219,-0.7605347380582876,-0.830282406923142,0.0350027269511497,0.3323708512513984,0.7847547358022202,-0.1522071736452505,0.41017058379070237,0.3448395450504355,-0.06533103874026688,-0.902559492676543
ACH-000221,0.5102367047779348,-0.34251477983760137,-0.33622390051224904,0.29919781002460094,0.7188978823655657,-0.33079050785219044,0.162576569778031,-0.2299042965475949,-0.3924808663256259,-1.2857515846553957
ACH-000222,-0.01846220258017428,0.6200125033273993,-0.43885737352791776,-0.34269882328102963,0.9658982359003292,0.02211257463777816,0.017575830595043265,0.0526322068199518,0.035056376224908536,0.651636804121756
ACH-000223,0.3513423532894838,-0.09908841625778636,1.3289987086123765,-0.10578575449324695,1.4174973613995672,0.05797562596324812,-0.463740513738507,-0.22153910024874515,0.24220141348976185,-0.08506763497501602
ACH-000226,-0.24520840472201622,-0.18683057493256394,-0.16999158459197594,0.1508432220898417,0.019888090045823908,0.32912016909896674,0.9134772861093863,0.8911441430526594,-0.022333143056726894,0.11653457952879753
ACH-000227,0.4806610630749446,0.5304890438192258,-0.911010292596903,-0.024057561188480535,0.0840717164479752,-0.4512682127453163,0.11735297657354196,0.028555946941814757,-0.08879702963172721,0.5042398830748867
